form_name,field_name,label,help_text
SuitabilityForm,zone_3,Zone 3 oder 30-Jahre Isochron,
SuitabilityForm,well_catchment,Im Einzugsgebiet,
SuitabilityForm,out_of_catchment_lt_5km,Außerhalb des Einzugsgebiets ,
SuitabilityForm,out_of_catchment_gt_5km,Außerhalb des Einzugsgebiets und 5km-Radius,
SuitabilityForm,conductivity_lt_5,< 5 K (m/d),
SuitabilityForm,conductivity_5_to_10,5 K (m/d) - 10 K (m/d),
SuitabilityForm,conductivity_10_to_20,10 K (m/d) - 20 K (m/d),
SuitabilityForm,conductivity_20_to_30,20 K (m/d) - 30 K (m/d),
SuitabilityForm,conductivity_gt_30,> 30 K (m/d),
SuitabilityForm,forest_closed_coniferous,Geschlossener Nadelwald,
SuitabilityForm,forest_closed_deciduous,Geschlossener Laubwald,
SuitabilityForm,forest_closed_mixed,Geschlossener Mischwald,
SuitabilityForm,forest_closed_unknown,Geschlossener Wald,
SuitabilityForm,forest_open_coniferous,Offener Nadelwald,
SuitabilityForm,forest_open_deciduous,Offener Laubwald,
SuitabilityForm,forest_open_mixed,Offener Mischwald,
SuitabilityForm,forest_open_unknown,Offener Wald,
SuitabilityForm,shrubs,Sträucher,
SuitabilityForm,herbaceous_vegetation,Krautvegetation,
SuitabilityForm,cropland,Ackerflächen,
SuitabilityForm,urban,Urbane Flächen,
SuitabilityForm,permanent_waterbodies,Gewässerflächen,
SuitabilityForm,herbaceous_wetland,Feuchtgebiete,
