Betreiber: LfU;;;
Pegelkennziffer (PKZ): 6919300;;;
Messstellenname: Frankfurt (Oder), Simonsmühle;;;
Gewaessername: Klinge;;;
AEo [qkm]: 13,91;;;
Pegelnullpunkt: 34,27  DHHN92 ;;;
ETRS 89_3_Ost: 467257,439684;;;
ETRS 89_3_Nord: 5800668,919883;;;
Geografische Laenge:  14,519237;;;
Geografische Breite:  52,355329;;;
Parameter: W [cm];;;
Datum;Uhrzeit;Relativer Wert [cm];Qualität (rel. Wert)
24.03.1995;Tagesmittel;29;Gut
25.03.1995;Tagesmittel;30;Gut
26.03.1995;Tagesmittel;29;Gut
27.03.1995;Tagesmittel;37;Gut
28.03.1995;Tagesmittel;33;Gut
29.03.1995;Tagesmittel;35;Gut
30.03.1995;Tagesmittel;34;Gut
31.03.1995;Tagesmittel;33;Gut
01.04.1995;Tagesmittel;33;Gut
02.04.1995;Tagesmittel;32;Gut
03.04.1995;Tagesmittel;31;Gut
04.04.1995;Tagesmittel;32;Gut
05.04.1995;Tagesmittel;30;Gut
06.04.1995;Tagesmittel;30;Gut
07.04.1995;Tagesmittel;32;Gut
08.04.1995;Tagesmittel;30;Gut
09.04.1995;Tagesmittel;30;Gut
10.04.1995;Tagesmittel;29;Gut
11.04.1995;Tagesmittel;29;Gut
12.04.1995;Tagesmittel;30;Gut
13.04.1995;Tagesmittel;30;Gut
14.04.1995;Tagesmittel;30;Gut
15.04.1995;Tagesmittel;30;Gut
16.04.1995;Tagesmittel;32;Gut
17.04.1995;Tagesmittel;30;Gut
18.04.1995;Tagesmittel;30;Gut
19.04.1995;Tagesmittel;30;Gut
20.04.1995;Tagesmittel;30;Gut
21.04.1995;Tagesmittel;29;Gut
22.04.1995;Tagesmittel;29;Gut
23.04.1995;Tagesmittel;28;Gut
24.04.1995;Tagesmittel;28;Gut
25.04.1995;Tagesmittel;28;Gut
26.04.1995;Tagesmittel;28;Gut
27.04.1995;Tagesmittel;29;Gut
28.04.1995;Tagesmittel;29;Gut
29.04.1995;Tagesmittel;28;Gut
30.04.1995;Tagesmittel;28;Gut
01.05.1995;Tagesmittel;27;Gut
02.05.1995;Tagesmittel;27;Gut
03.05.1995;Tagesmittel;27;Gut
04.05.1995;Tagesmittel;27;Gut
05.05.1995;Tagesmittel;27;Gut
06.05.1995;Tagesmittel;27;Gut
07.05.1995;Tagesmittel;27;Gut
08.05.1995;Tagesmittel;28;Gut
09.05.1995;Tagesmittel;30;Gut
10.05.1995;Tagesmittel;29;Gut
11.05.1995;Tagesmittel;28;Gut
12.05.1995;Tagesmittel;28;Gut
13.05.1995;Tagesmittel;44;Gut
14.05.1995;Tagesmittel;40;Gut
15.05.1995;Tagesmittel;31;Gut
16.05.1995;Tagesmittel;27;Gut
17.05.1995;Tagesmittel;25;Gut
18.05.1995;Tagesmittel;26;Gut
19.05.1995;Tagesmittel;33;Gut
20.05.1995;Tagesmittel;29;Gut
21.05.1995;Tagesmittel;28;Gut
22.05.1995;Tagesmittel;28;Gut
23.05.1995;Tagesmittel;28;Gut
24.05.1995;Tagesmittel;27;Gut
25.05.1995;Tagesmittel;27;Gut
26.05.1995;Tagesmittel;27;Gut
27.05.1995;Tagesmittel;27;Gut
28.05.1995;Tagesmittel;27;Gut
29.05.1995;Tagesmittel;26;Gut
30.05.1995;Tagesmittel;33;Gut
31.05.1995;Tagesmittel;29;Gut
01.06.1995;Tagesmittel;27;Gut
02.06.1995;Tagesmittel;33;Gut
03.06.1995;Tagesmittel;29;Gut
04.06.1995;Tagesmittel;28;Gut
05.06.1995;Tagesmittel;27;Gut
06.06.1995;Tagesmittel;27;Gut
07.06.1995;Tagesmittel;28;Gut
08.06.1995;Tagesmittel;28;Gut
09.06.1995;Tagesmittel;32;Gut
10.06.1995;Tagesmittel;29;Gut
11.06.1995;Tagesmittel;32;Gut
12.06.1995;Tagesmittel;29;Gut
13.06.1995;Tagesmittel;43;Gut
14.06.1995;Tagesmittel;33;Gut
15.06.1995;Tagesmittel;34;Gut
16.06.1995;Tagesmittel;31;Gut
17.06.1995;Tagesmittel;30;Gut
18.06.1995;Tagesmittel;29;Gut
19.06.1995;Tagesmittel;29;Gut
