Betreiber: LfU;;;
Pegelkennziffer (PKZ): 6919600;;;
Messstellenname: Frankfurt (Oder), Beckmannstraße;;;
Gewaessername: Klinge;;;
AEo [qkm]: 20,95;;;
Pegelnullpunkt: 23,177  DHHN2016 ;;;
ETRS 89_3_Ost: 468707,37003;;;
ETRS 89_3_Nord: 5800074,780486;;;
Geografische Laenge:  14,540582;;;
Geografische Breite:  52,350073;;;
Parameter: W [cm];;;
Datum;Uhrzeit;Relativer Wert [cm];Qualität (rel. Wert)
28.03.1982;Terminwerte;7;Gut
29.03.1982;Terminwerte;7;Gut
30.03.1982;Terminwerte;7;Gut
31.03.1982;Terminwerte;7;Gut
01.04.1982;Terminwerte;7;Gut
02.04.1982;Terminwerte;7;Gut
03.04.1982;Terminwerte;6;Gut
04.04.1982;Terminwerte;6;Gut
05.04.1982;Terminwerte;5;Gut
06.04.1982;Terminwerte;4;Gut
07.04.1982;Terminwerte;4;Gut
08.04.1982;Terminwerte;5;Gut
09.04.1982;Terminwerte;6;Gut
10.04.1982;Terminwerte;7;Gut
11.04.1982;Terminwerte;8;Gut
12.04.1982;Terminwerte;8;Gut
13.04.1982;Terminwerte;7;Gut
14.04.1982;Terminwerte;6;Gut
15.04.1982;Terminwerte;6;Gut
16.04.1982;Terminwerte;6;Gut
17.04.1982;Terminwerte;5;Gut
18.04.1982;Terminwerte;5;Gut
19.04.1982;Terminwerte;5;Gut
20.04.1982;Terminwerte;5;Gut
21.04.1982;Terminwerte;5;Gut
22.04.1982;Terminwerte;5;Gut
23.04.1982;Terminwerte;5;Gut
24.04.1982;Terminwerte;5;Gut
25.04.1982;Terminwerte;6;Gut
26.04.1982;Terminwerte;6;Gut
27.04.1982;Terminwerte;6;Gut
28.04.1982;Terminwerte;7;Gut
29.04.1982;Terminwerte;7;Gut
30.04.1982;Terminwerte;7;Gut
01.05.1982;Terminwerte;7;Gut
02.05.1982;Terminwerte;7;Gut
03.05.1982;Terminwerte;7;Gut
04.05.1982;Terminwerte;7;Gut
05.05.1982;Terminwerte;7;Gut
06.05.1982;Terminwerte;23;Gut
07.05.1982;Terminwerte;43;Gut
08.05.1982;Terminwerte;9;Gut
09.05.1982;Terminwerte;8;Gut
10.05.1982;Terminwerte;8;Gut
11.05.1982;Terminwerte;8;Gut
12.05.1982;Terminwerte;8;Gut
13.05.1982;Terminwerte;8;Gut
14.05.1982;Terminwerte;7;Gut
15.05.1982;Terminwerte;6;Gut
16.05.1982;Terminwerte;6;Gut
17.05.1982;Terminwerte;6;Gut
18.05.1982;Terminwerte;7;Gut
19.05.1982;Terminwerte;7;Gut
20.05.1982;Terminwerte;7;Gut
21.05.1982;Terminwerte;7;Gut
22.05.1982;Terminwerte;7;Gut
23.05.1982;Terminwerte;7;Gut
24.05.1982;Terminwerte;6;Gut
25.05.1982;Terminwerte;4;Gut
26.05.1982;Terminwerte;4;Gut
27.05.1982;Terminwerte;4;Gut
28.05.1982;Terminwerte;5;Gut
29.05.1982;Terminwerte;4;Gut
30.05.1982;Terminwerte;4;Gut
31.05.1982;Terminwerte;4;Gut
01.06.1982;Terminwerte;3;Gut
02.06.1982;Terminwerte;3;Gut
03.06.1982;Terminwerte;3;Gut
04.06.1982;Terminwerte;4;Gut
05.06.1982;Terminwerte;4;Gut
06.06.1982;Terminwerte;4;Gut
07.06.1982;Terminwerte;4;Gut
08.06.1982;Terminwerte;4;Gut
09.06.1982;Terminwerte;4;Gut
10.06.1982;Terminwerte;4;Gut
11.06.1982;Terminwerte;5;Gut
12.06.1982;Terminwerte;6;Gut
13.06.1982;Terminwerte;5;Gut
14.06.1982;Terminwerte;5;Gut
15.06.1982;Terminwerte;5;Gut
16.06.1982;Terminwerte;5;Gut
17.06.1982;Terminwerte;5;Gut
18.06.1982;Terminwerte;5;Gut
19.06.1982;Terminwerte;9;Gut
20.06.1982;Terminwerte;5;Gut
21.06.1982;Terminwerte;5;Gut
22.06.1982;Terminwerte;5;Gut
23.06.1982;Terminwerte;5;Gut
24.06.1982;Terminwerte;5;Gut
25.06.1982;Terminwerte;5;Gut
26.06.1982;Terminwerte;5;Gut
27.06.1982;Terminwerte;5;Gut
28.06.1982;Terminwerte;5;Gut
29.06.1982;Terminwerte;5;Gut
30.06.1982;Terminwerte;5;Gut
01.07.1982;Terminwerte;5;Gut
02.07.1982;Terminwerte;5;Gut
03.07.1982;Terminwerte;5;Gut
04.07.1982;Terminwerte;5;Gut
05.07.1982;Terminwerte;5;Gut
06.07.1982;Terminwerte;5;Gut
07.07.1982;Terminwerte;5;Gut
08.07.1982;Terminwerte;5;Gut
09.07.1982;Terminwerte;5;Gut
10.07.1982;Terminwerte;5;Gut
11.07.1982;Terminwerte;5;Gut
12.07.1982;Terminwerte;4;Gut
13.07.1982;Terminwerte;4;Gut
14.07.1982;Terminwerte;4;Gut
15.07.1982;Terminwerte;4;Gut
16.07.1982;Terminwerte;4;Gut
17.07.1982;Terminwerte;4;Gut
18.07.1982;Terminwerte;4;Gut
19.07.1982;Terminwerte;3;Gut
20.07.1982;Terminwerte;3;Gut
21.07.1982;Terminwerte;3;Gut
22.07.1982;Terminwerte;3;Gut
23.07.1982;Terminwerte;3;Gut
24.07.1982;Terminwerte;3;Gut
25.07.1982;Terminwerte;3;Gut
26.07.1982;Terminwerte;3;Gut
27.07.1982;Terminwerte;2;Gut
28.07.1982;Terminwerte;2;Gut
29.07.1982;Terminwerte;2;Gut
30.07.1982;Terminwerte;2;Gut
31.07.1982;Terminwerte;2;Gut
01.08.1982;Terminwerte;2;Gut
02.08.1982;Terminwerte;2;Gut
03.08.1982;Terminwerte;2;Gut
04.08.1982;Terminwerte;2;Gut
05.08.1982;Terminwerte;2;Gut
06.08.1982;Terminwerte;2;Gut
07.08.1982;Terminwerte;2;Gut
08.08.1982;Terminwerte;2;Gut
09.08.1982;Terminwerte;7;Gut
10.08.1982;Terminwerte;3;Gut
11.08.1982;Terminwerte;3;Gut
12.08.1982;Terminwerte;3;Gut
13.08.1982;Terminwerte;3;Gut
14.08.1982;Terminwerte;3;Gut
15.08.1982;Terminwerte;3;Gut
16.08.1982;Terminwerte;45;Gut
17.08.1982;Terminwerte;6;Gut
18.08.1982;Terminwerte;6;Gut
19.08.1982;Terminwerte;7;Gut
20.08.1982;Terminwerte;6;Gut
21.08.1982;Terminwerte;6;Gut
22.08.1982;Terminwerte;6;Gut
23.08.1982;Terminwerte;6;Gut
24.08.1982;Terminwerte;6;Gut
25.08.1982;Terminwerte;6;Gut
26.08.1982;Terminwerte;7;Gut
27.08.1982;Terminwerte;6;Gut
28.08.1982;Terminwerte;6;Gut
29.08.1982;Terminwerte;6;Gut
30.08.1982;Terminwerte;6;Gut
31.08.1982;Terminwerte;6;Gut
01.09.1982;Terminwerte;4;Gut
02.09.1982;Terminwerte;4;Gut
03.09.1982;Terminwerte;3;Gut
04.09.1982;Terminwerte;3;Gut
05.09.1982;Terminwerte;4;Gut
06.09.1982;Terminwerte;4;Gut
07.09.1982;Terminwerte;4;Gut
08.09.1982;Terminwerte;4;Gut
09.09.1982;Terminwerte;4;Gut
